pid,video,order,exint2,valence
83570,4,2,0.4296276,-0.0701055
83570,3,3,0.714983,-0.0504388
83570,5,4,0.7618732,-0.0767405
83570,1,5,1,-0.0734622
85193,2,1,0.1243993,-0.0498817
85193,4,2,0.4296276,-0.0609704
85193,3,3,0.714983,-0.0555375
85193,5,4,0.7618732,-0.0676054
85193,1,5,1,-0.040461
85499,1,1,0,-0.0184257
87123,1,1,0.2381268,-0.0417879
87123,5,2,0.285017,0.0394196
87123,3,3,0.5703724,-0.048242
87123,2,4,0.6947717,-0.0802758
87123,4,5,1,0.0559556
87124,1,1,0,-0.0152807
87404,1,1,0.2381268,0.0109135
87404,5,2,0.285017,0.0011924
87404,4,3,0.5902454,0.0016926
87404,2,4,0.7146446,0.0189167
87404,3,5,1,-0.0227014
89013,4,1,0.3052283,0.0509346
89013,2,2,0.4296276,0.1021191
89013,3,3,0.714983,0.0655295
89013,1,4,0.9531097,0.6636737
89013,5,5,1,0.0389976
91110,1,1,0.2381268,-0.2095043
91110,2,2,0.3625261,-0.190953
91110,5,3,0.4094163,-0.3025451
91110,4,4,0.7146446,-0.2978337
91110,3,5,1,0.0160163
91170,2,1,0.1243993,-0.0457408
91170,4,2,0.4296276,-0.1078157
91170,3,3,0.714983,-0.0973066
91170,5,4,0.7618732,-0.1144507
91170,1,5,1,-0.0594898
91543,4,1,0.3052283,-0.2778136
91543,2,2,0.4296276,-0.3068989
91543,3,3,0.714983,-0.1526934
91543,1,4,0.9531097,-0.2864918
91543,5,5,1,-0.2897506
91575,1,1,0,-0.0069202
92305,1,1,0.2381268,-0.5735714
92305,5,2,0.285017,
92305,4,3,0.5902454,
92305,2,4,0.7146446,
92305,3,5,1,0.1017658
92322,2,1,0.1243993,-0.072865
92322,3,2,0.4097547,-0.0221938
92322,5,3,0.4566449,0.0203214
92322,4,4,0.7618732,0.0250329
92322,1,5,1,0.1139303
92937,1,1,0.2381268,0.0001464
92937,5,2,0.285017,0.0193261
92937,3,3,0.5703724,-0.0042958
92937,2,4,0.6947717,-0.0059904
92937,4,5,1,0.0274332
93248,4,1,0.3052283,-0.0249625
93248,2,2,0.4296276,-0.0239349
93248,3,3,0.714983,-0.0175173
93248,1,4,0.9531097,-0.0329127
93248,5,5,1,-0.0368995
94759,2,1,0.1243993,-0.187214
94759,3,2,0.4097547,-0.0809124
94759,5,3,0.4566449,
94759,4,4,0.7618732,
94759,1,5,1,-0.0315605
95029,2,1,0.1243993,
95029,3,2,0.4097547,-0.0091193
95029,5,3,0.4566449,-0.00182
95029,4,4,0.7618732,0.0028915
95029,1,5,1,0.0351532
96307,1,1,0.2381268,0.0351456
96307,5,2,0.285017,-0.0421381
96307,4,3,0.5902454,-0.0598145
96307,2,4,0.7146446,-0.0169702
96307,3,5,1,-0.0064512
96337,1,1,0,0.0244379
97193,3,1,0.2853554,-0.0688477
97193,4,2,0.5905837,-0.0470238
97193,2,3,0.714983,-0.0550533
